Date_Number,Begin_Time(UTC),Begin_Year,Begin_Month,Begin_Day,Begin_Time,Flare_Date_Number,Flare_Max(UTC),Flare_Month,Flare_Day,Flare_Time,Max_Date_Number,Max_Time(UTC),Max_Year,Max_Month,Max_Day,Max_Time,Flare_Level,>10MeV_Max(pfu)
19891115,1989 11/15 0755,1989,11,15,0755,198911150658,3B 11/15 0658,11,15,0658,198911150905,1989 11/15 0905,1989,11,15,0905,X3,38
19891127,1989 11/27 2140,1989,11,27,2140,198911261941,2B 11/26 1941,11,26,1941,198911281105,1989 11/28 1105,1989,11,28,1105,M4,165
19891130,1989 11/30 1410,1989,11,30,1410,198911301230,3B 11/30 1230,11,30,1230,198912011330,1989 12/01 1330,1989,12,01,1330,X2,3590
19900319,1990 03/19 0705,1990,03,19,0705,199003190700,2B 03/19 0700,03,19,0700,199009192315,1990 09/19 2315,1990,09,19,2315,X1,946
19900329,1990 03/29 0920,1990,03,29,0920,199003280750,2N 03/28 0750,03,28,0750,199003291005,1990 03/29 1005,1990,03,29,1005,M4,15
19900407,1990 04/07 2220,1990,04,07,2220,199004031725,1N 04/03 1725,04,03,1725,199004081355,1990 04/08 1355,1990,04,08,1355,X1,19
19900411,1990 04/11 2120,1990,04,11,2120,199004101214,1N 04/10 1214,04,10,1214,199004112120,1990 04/11 2120,1990,04,11,2120,M1,13
19900417,1990 04/17 0400,1990,04,17,0400,199004150300,2B 04/15 0300,04,15,0300,199004170700,1990 04/17 0700,1990,04,17,0700,X1,12
19900428,1990 04/28 1005,1990,04,28,1005,199004280026,SF 04/28 0026,04,28,0026,199004281735,1990 04/28 1735,1990,04,28,1735,C2,149
19900521,1990 05/21 2355,1990,05,21,2355,199005212218,2B 05/21 2218,05,21,2218,199005220750,1990 05/22 0750,1990,05,22,0750,X5,409
19900524,1990 05/24 2125,1990,05,24,2125,199005242050,1B 05/24 2050,05,24,2050,199005250115,1990 05/25 0115,1990,05,25,0115,X9,177
19900526,1990 05/26 2110,1990,05,26,2110,199005262057,N/A 05/26 2057,05,26,2057,199005270120,1990 05/27 0120,1990,05,27,0120,X1,88
19900528,1990 05/28 0645,1990,05,28,0645,199005280433,N/A 05/28 0433,05,28,0433,199005290100,1990 05/29 0100,1990,05,29,0100,C1,45
19900612,1990 06/12 1140,1990,06,12,1140,199006120540,2B 06/12 0540,06,12,0540,199006121700,1990 06/12 1700,1990,06,12,1700,M6,79
19900726,1990 07/26 1100,1990,07,26,1100,199007252333,2N 07/25 2333,07,25,2333,199007262315,1990 07/26 2315,1990,07,26,2315,M2,20
19900801,1990 08/01 0020,1990,08,01,0020,199007300736,2B 07/30 0736,07,30,0736,199008012045,1990 08/01 2045,1990,08,01,2045,M4,227
19910131,1991 01/31 1130,1991,01,31,1130,199101310229,2B 01/31 0229,01,31,0229,199101311620,1991 01/31 1620,1991,01,31,1620,X1,242
19910225,1991 02/25 1200,1991,02,25,1200,199102250818,2N 02/25 0818,02,25,0818,199102251305,1991 02/25 1305,1991,02,25,1305,X1,12
19910323,1991 03/23 0820,1991,03,23,0820,199103222246,3B 03/22 2246,03,22,2246,199103240350,1991 03/24 0350,1991,03,24,0350,X9,43500
19910329,1991 03/29 2120,1991,03,29,2120,,,,,,199103300330,1991 03/30 0330,1991,03,30,0330,NA,20
19910403,1991 04/03 0815,1991,04,03,0815,199104022326,3B 04/02 2326,04,02,2326,199104041000,1991 04/04 1000,1991,04,04,1000,M6,52
19910513,1991 05/13 0300,1991,05,13,0300,199105130142,N/A 05/13 0142,05,13,0142,199105130905,1991 05/13 0905,1991,05,13,0905,M8,358
19910531,1991 05/31 1150,1991,05,31,1150,199105292344,2B 05/29 2344,05,29,2344,199106010500,1991 06/01 0500,1991,06,01,0500,X1,22
19910604,1991 06/04 0820,1991,06,04,0820,199106040352,3B 06/04 0352,06,04,0352,199106070400,1991 06/07 0400,1991,06,07,0400,X12,224
19910611,1991 06/11 0250,1991,06,11,0250,199106110209,3B 06/11 0209,06,11,0209,199106111420,1991 06/11 1420,1991,06,11,1420,X12,3000
19910615,1991 06/15 0835,1991,06,15,0835,199106150821,3B 06/15 0821,06,15,0821,199106151955,1991 06/15 1955,1991,06,15,1955,X12,1400
19910630,1991 06/30 0555,1991,06,30,0555,199106280625,N/A 06/28 0625,06,28,0625,199107021010,1991 07/02 1010,1991,07,02,1010,M6,106
19910707,1991 07/07 0455,1991,07,07,0455,199107070222,2B 07/07 0222,07,07,0222,199107081650,1991 07/08 1650,1991,07,08,1650,X1,2310
19910711,1991 07/11 0035,1991,07,11,0035,199107101227,2N 07/10 1227,07,10,1227,199107110450,1991 07/11 0450,1991,07,11,0450,M3,30
19910711,1991 07/11 2255,1991,07,11,2255,199107111037,3B 07/11 1037,07,11,1037,199107120305,1991 07/12 0305,1991,07,12,0305,M7,17
19910826,1991 08/26 1730,1991,08,26,1730,199108250113,2B 08/25 0113,08,25,0113,199108271830,1991 08/27 1830,1991,08,27,1830,X2,236
19911001,1991 10/01 1700,1991,10,01,1700,199109291533,4B 09/29 1533,09,29,1533,199110011810,1991 10/01 1810,1991,10,01,1810,M7,12
19911028,1991 10/28 1300,1991,10,28,1300,199110270547,3B 10/27 0547,10,27,0547,199110281440,1991 10/28 1440,1991,10,28,1440,X6,39
19911030,1991 10/30 0745,1991,10,30,0745,199110300632,3B 10/30 0632,10,30,0632,199110300810,1991 10/30 0810,1991,10,30,0810,X2,94
19920207,1992 02/07 0645,1992,02,07,0645,199202061047,2B 02/06 1047,02,06,1047,199202071115,1992 02/07 1115,1992,02,07,1115,M4,77
19920316,1992 03/16 0830,1992,03,16,0830,199203150153,3B 03/15 0153,03,15,0153,199203160900,1992 03/16 0900,1992,03,16,0900,M7,10
19920509,1992 05/09 0940,1992,05,09,0940,199205081545,4B 05/08 1545,05,08,1545,199205092100,1992 05/09 2100,1992,05,09,2100,M7,4650
19920625,1992 06/25 2045,1992,06,25,2045,199206252013,2B 06/25 2013,06,25,2013,199206260615,1992 06/26 0615,1992,06,26,0615,X3,389
19920628,1992 06/28 0950,1992,06,28,0950,199206281400,SF 06/28 1400,06,28,1400,199206290235,1992 06/29 0235,1992,06,29,0235,X1,24
19920806,1992 08/06 1145,1992,08,06,1145,199208030706,1N 08/03 0706,08,03,0706,199208061210,1992 08/06 1210,1992,08,06,1210,M4,14
19921030,1992 10/30 1920,1992,10,30,1920,199210301815,2B 10/30 1815,10,30,1815,199210310710,1992 10/31 0710,1992,10,31,0710,X1,2680
19921102,1992 11/02 0305,1992,11,02,0305,199211020307,2B 11/02 0307,11,02,0307,199211020910,1992 11/02 0910,1992,11,02,0910,X9,1060
19930304,1993 03/04 1455,1993,03,04,1455,199303041239,2N 03/04 1239,03,04,1239,199303041615,1993 03/04 1615,1993,03,04,1615,C8,17
19930312,1993 03/12 2010,1993,03,12,2010,199303121815,3B 03/12 1815,03,12,1815,199303130155,1993 03/13 0155,1993,03,13,0155,M7,43
19940220,1994 02/20 0305,1994,02,20,0305,199402200141,3B 02/20 0141,02,20,0141,199402210900,1994 02/21 0900,1994,02,21,0900,M4,10200
19941020,1994 10/20 0030,1994,10,20,0030,199410192127,1F 10/19 2127,10,19,2127,199410200340,1994 10/20 0340,1994,10,20,0340,M3,35
19951020,1995 10/20 0825,1995,10,20,0825,199510200607,0F 10/20 0607,10,20,0607,199510201210,1995 10/20 1210,1995,10,20,1210,M1,62
19971104,1997 11/04 0830,1997,11,04,0830,199711040558,2B 11/04 0558,11,04,0558,199711041300,1997 11/04 1300,1997,11,04,1300,X2,67
19971106,1997 11/06 1305,1997,11,06,1305,199711061155,2B 11/06 1155,11,06,1155,199711070255,1997 11/07 0255,1997,11,07,0255,X9,490
19980420,1998 04/20 1405,1998,04,20,1405,199804201021,N/A 04/20 1021,04,20,1021,199804211145,1998 04/21 1145,1998,04,21,1145,M1,161
19980502,1998 05/02 1415,1998,05,02,1415,199805021342,3B 05/02 1342,05,02,1342,199805021655,1998 05/02 1655,1998,05,02,1655,X1,149
19980506,1998 05/06 0840,1998,05,06,0840,199805060809,1N 05/06 0809,05,06,0809,199805060945,1998 05/06 0945,1998,05,06,0945,X2,239
19980509,1998 05/09 2055,1998,05,09,2055,199805090340,N/A 05/09 0340,05,09,0340,199805100020,1998 05/10 0020,1998,05,10,0020,M7,12
19980824,1998 08/24 2355,1998,08,24,2355,199808242213,3B 08/24 2213,08,24,2213,199808261055,1998 08/26 1055,1998,08,26,1055,X1,665
19980924,1998 09/24 2355,1998,09,24,2355,199809230713,3B 09/23 0713,09,23,0713,199809250130,1998 09/25 0130,1998,09,25,0130,M6,44
19980930,1998 09/30 1520,1998,09,30,1520,199809301350,2N 09/30 1350,09,30,1350,199810010025,1998 10/01 0025,1998,10,01,0025,M2,1160
19981114,1998 11/14 0810,1998,11,14,0810,199811140508,N/A 11/14 0508,11,14,0508,199811141245,1998 11/14 1245,1998,11,14,1245,C1,314
19990123,1999 01/23 1000,1999,01,23,1000,199901202024,N/A 01/20 2024,01,20,2024,199901231135,1999 01/23 1135,1999,01,23,1135,M5,14
19990424,1999 04/24 1820,1999,04,24,1820,,,,,,199904250055,1999 04/25 0055,1999,04,25,0055,NA,31
19990505,1999 05/05 1820,1999,05,05,1820,199905030602,2N 05/03 0602,05,03,0602,199905051955,1999 05/05 1955,1999,05,05,1955,M4,14
19990602,1999 06/02 0220,1999,06,02,0220,,,,,,199906021010,1999 06/02 1010,1999,06,02,1010,NA,48
