Begin_Time(UTC),Max_Time(UTC),>10MeV_Max(pfu),Region,Location,Flare_Max(UTC),Flare_Level,Type_II_Radio_Emission,Type_IV,Linear_Speed,Imagery/Misc
1991 06/30 0555,1991 07/02 1010,106,6703,N30E90,N/A 06/28 0625,M6,Yes,Yes,NA,NA
1991 07/07 0455,1991 07/08 1650,"2,310",6703,N26E03,2B 07/07 0222,X1,Yes,No,NA,NA
1991 07/11 0035,1991 07/11 0450,30,6718,S22E34,2N 07/10 1227,M3,Yes,Yes,NA,NA
1991 07/11 2255,1991 07/12 0305,17,6703,N22W51,3B 07/11 1037,M7,Yes,No,NA,NA
1991 08/26 1730,1991 08/27 1830,236,6805,N24E77,2B 08/25 0113,X2,No,Yes,NA,NA
1991 10/01 1700,1991 10/01 1810,12,6853,S21E32,4B 09/29 1533,M7,No,Yes,NA,NA
1991 10/28 1300,1991 10/28 1440,39,6891,S13E15,3B 10/27 0547,X6,Yes,Yes,NA,NA
1991 10/30 0745,1991 10/30 0810,94,6891,S08W25,3B 10/30 0632,X2,Yes,Yes,NA,NA
1992 02/07 0645,1992 02/07 1115,77,7042,S13W10,2B 02/06 1047,M4,No,Yes,NA,NA
1992 03/16 0830,1992 03/16 0900,10,7100,S14E29,3B 03/15 0153,M7,Yes,Yes,NA,NA
1992 05/09 0940,1992 05/09 2100,"4,650",7154,S26E08,4B 05/08 1545,M7,No,Yes,NA,NA
1992 06/25 2045,1992 06/26 0615,389,7205,N09W67,2B 06/25 2013,X3,No,Yes,NA,NA
1992 06/28 0950,1992 06/29 0235,24,7205,N11W90,SF 06/28 1400,X1,Yes,No,NA,NA
1992 08/06 1145,1992 08/06 1210,14,7248,S09E68,1N 08/03 0706,M4,No,No,NA,NA
1992 10/30 1920,1992 10/31 0710,"2,680",7321,S22W61,2B 10/30 1815,X1,No,Yes,NA,NA
1992 11/02 0305,1992 11/02 0910,"1,060",7321,S23W90,2B 11/02 0307,X9,Yes,Yes,NA,NA
1993 03/04 1455,1993 03/04 1615,17,7434,S14W56,2N 03/04 1239,C8,No,Yes,NA,NA
1993 03/12 2010,1993 03/13 0155,43,7440,S00W51,3B 03/12 1815,M7,Yes,Yes,NA,NA
1994 02/20 0305,1994 02/21 0900,"10,200",7671,N09W02,3B 02/20 0141,M4,Yes,Yes,NA,NA
1994 10/20 0030,1994 10/20 0340,35,7790,N12W24,1F 10/19 2127,M3,Yes,Yes,NA,NA
1995 10/20 0825,1995 10/20 1210,62,7912,S09W55,0F 10/20 0607,M1,Yes,Yes,NA,NA
1997 11/04 0830,1997 11/04 1300,67,8100,S14W33,2B 11/04 0558,X2,Yes,Yes,785 km/s,C2
1997 11/06 1305,1997 11/07 0255,490,8100,S18W63,2B 11/06 1155,X9,NA,NA,1300 km/s,C2
1998 04/20 1405,1998 04/21 1145,161,8210,S20W100,N/A 04/20 1021,M1,Yes,No,1863 km/s,C2
1998 05/02 1415,1998 05/02 1655,149,8210,S15W15,3B 05/02 1342,X1,No,Yes,938 km/s,C2
1998 05/06 0840,1998 05/06 0945,239,8210,S11W65,1N 05/06 0809,X2,Yes,Yes,1099 km/s,C2
1998 05/09 2055,1998 05/10 0020,12,8210,S17W100,N/A 05/09 0340,M7,Yes,Yes,2331 km/s,C2
1998 08/24 2355,1998 08/26 1055,665,8307,N35E09,3B 08/24 2213,X1,Yes,Yes,NA,NA
1998 09/24 2355,1998 09/25 0130,44,8340,N18E09,3B 09/23 0713,M6,Yes,Yes,NA,NA
1998 09/30 1520,1998 10/01 0025,1160,8340,N23W80,2N 09/30 1350,M2,Yes,Yes,NA,NA
1998 11/14 0810,1998 11/14 1245,314,8385,N28W100,N/A 11/14 0508,C1,No,Yes,NA,NA
1999 01/23 1000,1999 01/23 1135,14,8421,N27W100,N/A 01/20 2024,M5,Yes,Yes,NA,NA
1999 04/24 1820,1999 04/25 0055,31,8517,N22W130,,NA,No,No,1495 km/s,C2
1999 05/05 1820,1999 05/05 1955,14,8525,N15E32,2N 05/03 0602,M4,Yes,Yes,1584 km/s,C2
1999 06/02 0220,1999 06/02 1010,48,NA,N00W100,,NA,No,No,1772 km/s,C2
1999 06/04 0925,1999 06/04 1055,64,8552,N17W69,2B 06/04 0703,M3,Yes,Yes,2230 km/s,C2
2000 02/18 1115,2000 02/18 1215,13,8858,N00W120,,NA,Yes,No,890 km/s,C2
2000 04/04 2055,2000 04/05 0930,55,8933,N16W66,2F 04/04 1541,C9,Yes,Yes,1188 km/s,C2
2000 06/07 1310,2000 06/08 0940,84,9026,N21E12,3B 06/06 1525,X2,Yes,Yes,1119 km/s,C2
2000 06/10 1805,2000 06/10 2045,46,9026,N22W38,3B 06/10 1702,M5,Yes,Yes,1108 km/s,C2
2000 07/14 1045,2000 07/15 1230,"24,000",9077,N22W07,3B 07/14 1024,X5,Yes,Yes,1674 km/s,C2 EIT
2000 07/22 1320,2000 07/22 1405,17,9085,N15W56,2N 07/22 1114,M3,Yes,Yes,1230 km/s,C2
2000 07/28 0520,2000 07/28 0655,21,NA,N00W120,,NA,No,No,905 km/s,C2
2000 08/11 1650,2000 08/11 1655,17,9114,N11W10,SF 08/09 1647,C2,No,No,702 km/s,C2
2000 09/12 1605,2000 09/13 0340,321,9163,S19W08,2F 09/12 1213,M1,Yes,No,1550 km/s,C2
2000 10/16 1110,2000 10/16 1840,15,9182,N02W90,N/A 10/16 1139,M2,Yes,Yes,1336 km/s,C2
2000 10/26 0040,2000 10/26 0340,15,9182,N02W90,N/A 10/25 1125,C4,No,No,770 km/s,C2
2000 11/08 2350,2000 11/09 1555,"14,800",9213,N10W77,3F 11/08 2328,M7,No,Yes,1738 km/s,C2 EIT
2000 11/24 1600,2000 11/24 2120,93,9236,N22W07,2B 11/24 1513,X2,Yes,No,1245 km/s,C2
2000 11/25 2340,2000 11/26 1715,591,9240,N07E50,2N 11/25 0131,M8,Yes,Yes,2519 km/s,C2
2000 11/26 1845,2000 11/26 2030,942,9236,N21W33,2B 11/26 1648,X4,Yes,No,980 km/s,C2
2001 04/18 0315,2001 04/18 1045,32,9415,S20W90,N/A 04/18 0314,C2,Yes,No,2465 km/s,C2
2001 04/28 0430,2001 04/28 0500,57,9433,N17W23,2N 04/26 1312,M7,Yes,Yes,1006 km/s,C2
2001 06/15 1750,2001 06/16 0005,26,NA,N00W115,,NA,Yes,Yes,1701 km/s,C2
2001 08/16 0135,2001 08/16 0355,493,NA,S20W180,,NA,No,No,1575 km/s,C2
2001 09/24 0925,2001 09/25 2235,"12,900",9632,S16E23,2B 09/24 1038,X2,No,Yes,2402 km/s,C2 EIT
2001 10/01 1245,2001 10/02 0810,"2,360",9628,S18W90,N/A 10/01 0515,M9,No,No,1405 km/s,C2
2001 10/19 2225,2001 10/19 2230,11,9661,N16W18,2B 10/19 0105,X1,Yes,Yes,558 km/s,C2
2001 10/22 1910,2001 10/22 2130,24,9672,S21E18,2N 10/22 1508,M6,Yes,Yes,1336 km/s,C2
