Sentence,Title,SourceTextType
theres a certain risk that theyre willing to accept a few extra  or a slightly higher risk of cancer as they age,NprPlanesPowerGridsNews,newsArticle
but the systems that theyre using can be impacted by a radiation stormso you know with the shuttle for example the robot arm couldnt be used when a radiation storm exceeded a certain level,NprPlanesPowerGridsNews,newsArticle
so there are certain impacts they do have to be aware offlatow tell us about this huge solar storm of  the storm of  dougbiesecker well was  its kind of our perfect storm in solar physics,NprPlanesPowerGridsNews,newsArticle
so the day was thursday september  and sir richard carrington was in his house at his observatory watching the sun like he did every day and he projected this image of the sun with his telescope till it was about inches across,NprPlanesPowerGridsNews,newsArticle
and each day he would draw the sunspots,NprPlanesPowerGridsNews,newsArticle
and this particular day hed finished drawing the sunspots and he was just about to start measuring the locations on the sun when all of a sudden two bright lights appeared in the middle of one of these magnetic regions hed measuredand hed never seen this before,NprPlanesPowerGridsNews,newsArticle
and he thought oh theres something wrong with my equipment and he checked it out and quickly realized no its not my equipment,NprPlanesPowerGridsNews,newsArticle
and the careful observer that he is he wrote down the time  am he was so shocked by this he ran off to find somebody to help verify what he was seeing,NprPlanesPowerGridsNews,newsArticle
he couldnt find anybody came back and it was already fading,NprPlanesPowerGridsNews,newsArticle
it lasted all of five minutes,NprPlanesPowerGridsNews,newsArticle
by  am it was doneflatow let me just interrupt to say this is science friday from npr,NprPlanesPowerGridsNews,newsArticle
talking with doug biesecker spinning a yarn about the solar flare of ,NprPlanesPowerGridsNews,newsArticle
keep goingbiesecker so now he knew something special had happened,NprPlanesPowerGridsNews,newsArticle
and what makes this really remarkable is at a magnetic observatory again when you shake the earths magnetic field you know if you and i had a compass you know it would point to solar north,NprPlanesPowerGridsNews,newsArticle
but if you made a compass that was sensitive enough you would be able to see that that magnetic field was shaking during one of these geomagnetic storms,NprPlanesPowerGridsNews,newsArticle
and in fact at  am on september nd at the magnetic observatory at kew garden there was a great magnetic stormand carrington said you know a swallow doesnt make a summer but there seems to be a connection here,NprPlanesPowerGridsNews,newsArticle
so in just hours after he saw a flare on the sun we had a huge in fact the largest ever recorded magnetic storm on the surface of the earth,NprPlanesPowerGridsNews,newsArticle
it was so strong every magnetic observatory in the world saturated except for one that we know in india and all measurements of that storm are now based on that one,NprPlanesPowerGridsNews,newsArticle
impactsflatow and what did  yeah,NprPlanesPowerGridsNews,newsArticle
what did itbiesecker rightflatow telegraphs and things like thatbiesecker right,NprPlanesPowerGridsNews,newsArticle
so the technology of the day was telegraphs,NprPlanesPowerGridsNews,newsArticle
so thats really where most of the impacts were,NprPlanesPowerGridsNews,newsArticle
you know in pittsburgh the telegraph machines got so hot the operators couldnt touch them,NprPlanesPowerGridsNews,newsArticle
in philadelphia a telegraph operator received a shock from his equipment,NprPlanesPowerGridsNews,newsArticle
in boston there was a flame of fire,NprPlanesPowerGridsNews,newsArticle
you know in telegraph stations up and down the east coast the wood got scorched paper burned,NprPlanesPowerGridsNews,newsArticle
what did the average person see,NprPlanesPowerGridsNews,newsArticle
well aurora,NprPlanesPowerGridsNews,newsArticle
in indianapolis the aurora was so bright and so strong you didnt have to look north to see the aurorayou could look at your southern horizon and still see the aurora,NprPlanesPowerGridsNews,newsArticle
in jamaica it was described as like the light of a fire,NprPlanesPowerGridsNews,newsArticle
its believed that  well in fact its been recorded that sailors saw it just degrees north of the equator and that if weather conditions had been favorable it would have been seen even at the equator,NprPlanesPowerGridsNews,newsArticle
so the entire globe was able to see the aurora on september  flatow wow,NprPlanesPowerGridsNews,newsArticle
do we know why that happened in such a spectacular fashion,NprPlanesPowerGridsNews,newsArticle
whatbiesecker well this particular event was really just the extreme of exactly what happened just this past sunday,NprPlanesPowerGridsNews,newsArticle
associated with that solar flare was one of these coronal mass ejections,NprPlanesPowerGridsNews,newsArticle
the speed of the coronal mass ejection doesnt tell you exactly how strong the storm will be,NprPlanesPowerGridsNews,newsArticle
that  for that you need to know the magnetic field in the cme but its a pretty good indicator,NprPlanesPowerGridsNews,newsArticle
and that transit of hours is the fastest ever recorded,NprPlanesPowerGridsNews,newsArticle
and the impulse you know the amount of energy that got dumped into the earths magnetic field was just incredibleflatow do we have a number you can put on even a solar flare that just happened this week how big explosion goes onbiesecker off the  no,NprPlanesPowerGridsNews,newsArticle
i dont have a numberflatow dave you got ithathaway yeahbiesecker yeahhathaway the typical flare if you look at the radiant energy from it is the equivalent of a million megatons of tnt,NprPlanesPowerGridsNews,newsArticle
so thats the energy equivalent of million hiroshima bombsflatow wow,NprPlanesPowerGridsNews,newsArticle
all right,NprPlanesPowerGridsNews,newsArticle
were going to let that sink in for a little bit take a break,NprPlanesPowerGridsNews,newsArticle
well come back more and talk with doug biesecker and david hathaway about the sun and solar events,NprPlanesPowerGridsNews,newsArticle
our number ,NprPlanesPowerGridsNews,newsArticle
you can tweet us scifri,NprPlanesPowerGridsNews,newsArticle
stay with us,NprPlanesPowerGridsNews,newsArticle
well be right back,NprPlanesPowerGridsNews,newsArticle
soundbite of musicflatow this is science friday from npr,NprPlanesPowerGridsNews,newsArticle
im ira flatow,NprPlanesPowerGridsNews,newsArticle
were talking about solar flares and the sun with david hathaway of nasas marshall space flight center in huntsville and doug biesecker of noaas space weather prediction center in boulder,NprPlanesPowerGridsNews,newsArticle
and were going to talk a little  a few more minutes because i want to recap,NprPlanesPowerGridsNews,newsArticle
